1.3368+1.3343i   0.2101+0.5779i   0.2130+0.5015i
0.2101+0.5779i   1.3238+1.3569i   0.2066+0.4591i
0.2130+0.5015i   0.2066+0.4591i   1.3294+1.3471i

1.9300+1.4115i   0.2327+0.6442i   0.2359+0.5691i
0.2327+0.6442i   1.9157+1.4281i   0.2288+0.5238i
0.2359+0.5691i   0.2288+0.5238i   1.9219+1.4209i

2.7995+1.4855i   0.0000+0.0000i   0.0000+0.0000i
0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i
0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i

0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i
0.0000+0.0000i   2.7995+1.4855i   0.0000+0.0000i
0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i

0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i
0.0000+0.0000i   1.9217+1.4212i   0.0000+0.0000i
0.0000+0.0000i   0.0000+0.0000i   0.0000+0.0000i
